id,sku,link-href,name,origin_price,discount_percent,sale_price,img-src,rating,review_count,brand_name,specification,date
155530453,3953094501529,https://tiki.vn/laptop-hp-240-g8-i3-1005g1-4gb-256gb-14-f-win10-519a7pa-bac-hang-chinh-hang-p155530453.html?spid=248802396,Laptop HP 240 G8 i3 1005G1/4GB/256GB/14"F/Win10/(519A7PA)/Bạc - Hàng chính hãng,11040000,0%,11040000,https://salt.tikicdn.com/cache/280x280/ts/product/19/aa/34/675da9045ebdbf91e55e29fb34b4344e.jpg,0,0,HP,GIA DỤNG VIỆT; Laptop Truyền Thống ;Laptop - Máy Vi Tính - Linh kiện ;Trung Quốc,2024-11-21
192729516,5796598794559,https://tiki.vn/laptop-hp-pavilion-14-dv2033tu-i5-1235u-8gb-512gb-14-f-win11-6k769pa-vang-hang-chinh-hang-p192729516.html?spid=248802703,Laptop HP Pavilion 14 dv2033TU i5 1235U/8GB/512GB/14"F/Win11/(6K769PA)/Vàng - Hàng chính hãng,18480000,0%,18480000,https://salt.tikicdn.com/cache/280x280/ts/product/b8/fe/c0/8d7ef4812d192f5d5741ee30d4f27816.jpg,0,0,HP,GIA DỤNG VIỆT; Laptop Truyền Thống ;Laptop - Máy Vi Tính - Linh kiện ;Trung Quốc,2024-11-21
174500984,4079316074558,https://tiki.vn/laptop-hp-245-g8-61c60pa-r3-3250u-4gb-256gb-ssd-14hd-vga-on-win11-silver-hang-chinh-hang-p174500984.html?spid=249946486,Laptop HP 245 G8 61C60PA (R3-3250U/4GB/256GB SSD/14HD/VGA ON/WIN11/Silver) - Hàng Chính Hãng,9120000,0%,9120000,https://salt.tikicdn.com/cache/280x280/ts/product/80/17/56/69e08ddac070d5bcd9e51b0c7018fa43.jpg,0,0,HP,GIA DỤNG VIỆT; Laptop Truyền Thống ;Laptop - Máy Vi Tính - Linh kiện ;Trung Quốc,2024-11-21
190725441,7233439521295,https://tiki.vn/laptop-hp-15s-fq5078tu-i5-1235u-8gb-512gb-15-6-f-win11-6k798pa-bac-hang-chinh-hang-p190725441.html?spid=248802605,Laptop HP 15s fq5078TU i5 1235U/8GB/512GB/15.6"F/Win11/(6K798PA)/Bạc - Hàng chính hãng,17640000,0%,17640000,https://salt.tikicdn.com/cache/280x280/ts/product/e0/23/25/a915133322fd81deab6a5efd6e8a7a8f.jpg,0,0,HP,GIA DỤNG VIỆT; Laptop Truyền Thống ;Laptop - Máy Vi Tính - Linh kiện ;Trung Quốc,2024-11-21
198462692,8614145440219,https://tiki.vn/laptop-hp-pavilion-14-dv2033tu-6k769pa-i5-1235u-8gb-512gb-14-fhd-win-11-hang-chinh-hang-p198462692.html?spid=249010704,Laptop HP Pavilion 14-dv2033TU (6K769PA) (i5-1235U | 8GB | 512GB | 14' FHD | Win 11) Hàng chính hãng,18480000,0%,18480000,https://salt.tikicdn.com/cache/280x280/ts/product/0a/11/7c/80ac39926361acc207065de310c36ee1.jpg,0,0,HP,GIA DỤNG VIỆT; Laptop Truyền Thống ;Laptop - Máy Vi Tính - Linh kiện ;Trung Quốc,2024-11-21
195901063,2442931056346,https://tiki.vn/laptop-hp-15s-fq5104tu-i7-1255u-8gb-512gb-win11-6k7e4pa-hang-chinh-hang-p195901063.html?spid=249010235,Laptop HP 15S-FQ5104TU i7-1255U/8GB/512GB/Win11 6K7E4PA - Hàng chính hãng,18600000,0%,18600000,https://salt.tikicdn.com/cache/280x280/ts/product/ef/a2/3c/4ce0d293f23e03351a76e156752eac73.jpg,0,0,HP,GIA DỤNG VIỆT; Laptop Truyền Thống ;Laptop - Máy Vi Tính - Linh kiện ;Trung Quốc,2024-11-21
275850089,5788524466503,https://tiki.vn/laptop-hp-14-ep1011tu-9z2w3pa-core-5-120u-16gb-512gb-ssd-14-inch-fhd-win11-silver-hang-chinh-hang-p275850089.html?spid=275850090,Laptop HP 14 ep1011TU 9Z2W3PA (Core 5 120U/ 16GB/ 512GB SSD/ 14 inch FHD/ Win11/ Silver) - Hàng Chính Hãng,18529000,0%,18529000,https://salt.tikicdn.com/cache/280x280/ts/product/d6/51/c5/cf2f51a09bb3dcfcf888ff2c490e11c6.png,0,0,HP,An Khang Computer; Laptop Truyền Thống ;Laptop - Máy Vi Tính - Linh kiện ;China,2024-11-21
136979185,9513282461916,https://tiki.vn/laptop-hp-14s-dq2545tu-46m23pa--core-i5-1135g7--8gb--256gb--14hd--win10----hang-chinh-hang-p136979185.html?spid=168907673,Laptop HP 14s-dq2545TU 46M23PA (Core i5-1135G7/ 8GB/ 256GB/ 14HD/ Win10) - Hàng Chính Hãng,15990000,0%,15990000,https://salt.tikicdn.com/cache/280x280/ts/product/fd/b0/8a/dfdee1d6003cefd788e01cc1ed57756a.jpg,0,0,HP,AN PHAT COMPUTER; Laptop Truyền Thống ;Laptop - Máy Vi Tính - Linh kiện ;Trung Quốc,2024-11-21
199104980,9032195710758,https://tiki.vn/laptop-hp-240-g9-6l1y1pa-i5-1235u-8gb-ram-256gb-ssd-14-fhd-win11-hang-chinh-hang-p199104980.html?spid=249009800,Laptop HP 240 G9 6L1Y1PA |i5-1235U|8GB RAM |256GB SSD |14"FHD|Win11 - Hàng Chính Hãng,16680000,0%,16680000,https://salt.tikicdn.com/cache/280x280/ts/product/f4/79/e8/82ae0f30b963e0966dc226d4e234b129.jpg,0,0,HP,GIA DỤNG VIỆT; Laptop Truyền Thống ;Laptop - Máy Vi Tính - Linh kiện ;Mỹ,2024-11-21
189588675,6586637321047,https://tiki.vn/laptop-hp-pavilion-15-eg2036tx-6k782pa-i5-1235u-8gb-512gb-mx550-2gb-15-6-fhd-win-11-p189588675.html?spid=249011450,Laptop HP Pavilion 15-eg2036TX 6K782PA i5-1235U|8GB|512GB|MX550 2GB|15.6'' FHD - Hàng chính hãng,19320000,0%,19320000,https://salt.tikicdn.com/cache/280x280/ts/product/30/9c/da/7632961a24c7ba9234b789e700bd681e.png,0,0,HP,GIA DỤNG VIỆT; Laptop Truyền Thống ;Laptop - Máy Vi Tính - Linh kiện ;Mỹ,2024-11-21
